1.20402	10240
1.40822	11264
1.40875	12288
1.40944	13312
1.41013	14336
1.41082	15360
1.61116	16384
1.61259	17408
1.61329	18432
1.61415	19456
1.6145	20480
1.61502	21504
1.61553	22528
1.61588	23552
1.81553	24576
1.81696	25600
1.81749	26624
1.81783	27648
1.8187	28672
1.81904	29696
1.81939	30720
1.82042	29696
1.8206	28672
1.82094	27968
1.82111	27392
2.02008	25792
2.02117	25216
2.02134	21568
2.02151	20992
2.02169	20416
2.02187	19840
2.02204	19264
2.02221	18688
2.02238	18112
2.02256	17536
2.02307	16960
2.02325	16384
2.02342	14336
2.22779	14409
2.22813	14481
2.22848	14553
2.22934	14625
2.42848	14696
2.43027	14767
2.43096	14838
2.43199	14908
2.43251	14978
2.63268	13312
2.63286	12288
2.63447	11392
2.63464	10752
2.63516	10112
2.63533	9472
2.63619	8832
2.63636	8192
2.63671	7552
2.63688	6144
2.83688	6314
2.84056	6480
2.84211	6641
3.04108	6798
3.04493	6952
3.04649	7102
3.24545	7249
3.2493	7393
3.25086	7534
3.44982	7673
3.4535	7809
3.45506	7943
3.65402	8075
3.6577	8204
3.8584	7168
3.8619	6144
3.86208	5120
3.86225	4301
4.06243	3072
5.0626	1024
5.2668	2048
5.471	2560
5.8752	2969
6.07537	3322
6.2794	3637
7.2794	1024
7.4836	2048
7.4836	2560
8.4836	1024
9.09199	2048
9.29637	2560
9.50074	2969
9.90494	3322
10.3135	2048
10.9261	1024
11.1303	2048
11.1303	2560
11.3347	2969
11.5391	3322
11.7434	3637
11.9436	3925
11.9478	4192
